originregion_id	originregion_name	destinationregion_id	destinationregion_name	origin_iso	origin_name	destination_iso	destination_name	regionflow_2008	regionflow_2010	regionflow_2012	regionflow_2014	countryflow_2008	countryflow_2010	countryflow_2012	countryflow_2014
6	AKDENİZ	6	AKDENİZ	1	Adana	1	Adana	79061	69145	67465	73549	0	0	0	0
6	AKDENİZ	12	GÜNEYDOĞU ANADOLU	1	Adana	2	Adıyaman	34439	36409	33025	38385	864	745	647	752
6	AKDENİZ	3	EGE	1	Adana	3	Afyonkarahisar	25604	28110	30933	34261	202	180	365	294
6	AKDENİZ	10	KUZEYDOĞU ANADOLU	1	Adana	4	Ağrı	3904	5545	5792	6162	115	216	242	276
6	AKDENİZ	7	ORTA ANADOLU	1	Adana	5	Aksaray	17390	16672	16583	17847	495	350	486	500
6	AKDENİZ	8	BATI KARADENİZ	1	Adana	6	Amasya	6906	7301	7426	8591	118	89	102	120
6	AKDENİZ	5	BATI ANADOLU	1	Adana	7	Ankara	22101	29134	30371	32753	2161	3085	3366	3656
6	AKDENİZ	6	AKDENİZ	1	Adana	8	Antalya	79061	69145	67465	73549	2885	2872	2807	2941
6	AKDENİZ	10	KUZEYDOĞU ANADOLU	1	Adana	9	Ardahan	3904	5545	5792	6162	40	48	62	87
6	AKDENİZ	9	DOĞUKARADENİZ	1	Adana	10	Artvin	3353	4257	5084	6174	73	86	84	96
6	AKDENİZ	3	EGE	1	Adana	11	Aydın	25604	28110	30933	34261	492	330	412	497
6	AKDENİZ	2	BATI MARMARA	1	Adana	12	Balıkesir	5472	6036	6160	7013	249	301	265	365
6	AKDENİZ	8	BATI KARADENİZ	1	Adana	13	Bartın	6906	7301	7426	8591	43	34	55	50
6	AKDENİZ	12	GÜNEYDOĞU ANADOLU	1	Adana	14	Batman	34439	36409	33025	38385	413	496	417	456
6	AKDENİZ	10	KUZEYDOĞU ANADOLU	1	Adana	15	Bayburt	3904	5545	5792	6162	35	70	77	76
6	AKDENİZ	4	DOĞU MARMARA	1	Adana	16	Bilecik	14067	13194	15066	15177	82	96	158	102
6	AKDENİZ	11	ORTADOĞU ANADOLU	1	Adana	17	Bingöl	15012	13097	14857	15467	421	247	241	357
6	AKDENİZ	11	ORTADOĞU ANADOLU	1	Adana	18	Bitlis	15012	13097	14857	15467	455	362	362	298
6	AKDENİZ	4	DOĞU MARMARA	1	Adana	19	Bolu	14067	13194	15066	15177	80	95	151	172
6	AKDENİZ	6	AKDENİZ	1	Adana	20	Burdur	79061	69145	67465	73549	80	104	175	145
6	AKDENİZ	4	DOĞU MARMARA	1	Adana	21	Bursa	14067	13194	15066	15177	771	813	914	968
6	AKDENİZ	2	BATI MARMARA	1	Adana	22	Çanakkale	5472	6036	6160	7013	220	216	274	279
6	AKDENİZ	8	BATI KARADENİZ	1	Adana	23	Çankırı	6906	7301	7426	8591	75	137	124	109
6	AKDENİZ	8	BATI KARADENİZ	1	Adana	24	Çorum	6906	7301	7426	8591	115	89	102	151
6	AKDENİZ	3	EGE	1	Adana	25	Denizli	25604	28110	30933	34261	286	240	304	334
6	AKDENİZ	12	GÜNEYDOĞU ANADOLU	1	Adana	26	Diyarbakır	34439	36409	33025	38385	1475	1455	1468	1526
6	AKDENİZ	4	DOĞU MARMARA	1	Adana	27	Düzce	14067	13194	15066	15177	104	101	67	89
6	AKDENİZ	2	BATI MARMARA	1	Adana	28	Edirne	5472	6036	6160	7013	112	101	113	109
6	AKDENİZ	11	ORTADOĞU ANADOLU	1	Adana	29	Elazığ	15012	13097	14857	15467	694	623	745	740
6	AKDENİZ	10	KUZEYDOĞU ANADOLU	1	Adana	30	Erzincan	3904	5545	5792	6162	136	224	256	169
6	AKDENİZ	10	KUZEYDOĞU ANADOLU	1	Adana	31	Erzurum	3904	5545	5792	6162	284	316	424	376
6	AKDENİZ	4	DOĞU MARMARA	1	Adana	32	Eskişehir	14067	13194	15066	15177	396	411	506	402
6	AKDENİZ	12	GÜNEYDOĞU ANADOLU	1	Adana	33	Gaziantep	34439	36409	33025	38385	1986	2008	2266	2747
6	AKDENİZ	9	DOĞUKARADENİZ	1	Adana	34	Giresun	3353	4257	5084	6174	70	105	168	167
6	AKDENİZ	9	DOĞUKARADENİZ	1	Adana	35	Gümüşhane	3353	4257	5084	6174	20	92	177	189
6	AKDENİZ	11	ORTADOĞU ANADOLU	1	Adana	36	Hakkari	15012	13097	14857	15467	202	152	118	145
6	AKDENİZ	6	AKDENİZ	1	Adana	37	Hatay	79061	69145	67465	73549	2487	2504	2401	2737
6	AKDENİZ	10	KUZEYDOĞU ANADOLU	1	Adana	38	Iğdır	3904	5545	5792	6162	42	57	58	57
6	AKDENİZ	6	AKDENİZ	1	Adana	39	Isparta	79061	69145	67465	73549	229	212	350	316
6	AKDENİZ	1	İSTANBUL	1	Adana	40	İstanbul	29242	35343	34653	35454	6765	7932	7802	7717
6	AKDENİZ	3	EGE	1	Adana	41	İzmir	25604	28110	30933	34261	1567	1699	1873	1924
6	AKDENİZ	6	AKDENİZ	1	Adana	42	Kahramanmaraş	79061	69145	67465	73549	1617	171	1419	2011
6	AKDENİZ	8	BATI KARADENİZ	1	Adana	43	Karabük	6906	7301	7426	8591	59	72	158	112
6	AKDENİZ	5	BATI ANADOLU	1	Adana	44	Karaman	22101	29134	30371	32753	183	207	267	246
6	AKDENİZ	10	KUZEYDOĞU ANADOLU	1	Adana	45	Kars	3904	5545	5792	6162	79	142	153	174
6	AKDENİZ	8	BATI KARADENİZ	1	Adana	46	Kastamonu	6906	7301	7426	8591	83	107	126	144
6	AKDENİZ	7	ORTA ANADOLU	1	Adana	47	Kayseri	17390	16672	16583	17847	1548	1942	1746	1994
6	AKDENİZ	12	GÜNEYDOĞU ANADOLU	1	Adana	48	Kilis	34439	36409	33025	38385	133	234	200	225
6	AKDENİZ	7	ORTA ANADOLU	1	Adana	49	Kırıkkale	17390	16672	16583	17847	76	138	144	155
6	AKDENİZ	2	BATI MARMARA	1	Adana	50	Kırklareli	5472	6036	6160	7013	118	144	89	143
6	AKDENİZ	7	ORTA ANADOLU	1	Adana	51	Kırşehir	17390	16672	16583	17847	88	130	194	214
6	AKDENİZ	4	DOĞU MARMARA	1	Adana	52	Kocaeli	14067	13194	15066	15177	559	622	642	831
6	AKDENİZ	5	BATI ANADOLU	1	Adana	53	Konya	22101	29134	30371	32753	1598	1193	1465	1571
6	AKDENİZ	3	EGE	1	Adana	54	Kütahya	25604	28110	30933	34261	97	205	228	190
6	AKDENİZ	11	ORTADOĞU ANADOLU	1	Adana	55	Malatya	15012	13097	14857	15467	974	854	975	969
6	AKDENİZ	3	EGE	1	Adana	56	Manisa	25604	28110	30933	34261	322	277	441	357
6	AKDENİZ	12	GÜNEYDOĞU ANADOLU	1	Adana	57	Mardin	34439	36409	33025	38385	475	1837	1091	966
6	AKDENİZ	6	AKDENİZ	1	Adana	58	Mersin	79061	69145	67465	73549	5299	5655	566	6499
6	AKDENİZ	3	EGE	1	Adana	59	Muğla	25604	28110	30933	34261	740	616	767	767
6	AKDENİZ	11	ORTADOĞU ANADOLU	1	Adana	60	Muş	15012	13097	14857	15467	309	256	255	271
6	AKDENİZ	7	ORTA ANADOLU	1	Adana	61	Nevşehir	17390	16672	16583	17847	227	243	358	381
6	AKDENİZ	7	ORTA ANADOLU	1	Adana	62	Niğde	17390	16672	16583	17847	2777	1879	21	271
6	AKDENİZ	9	DOĞUKARADENİZ	1	Adana	63	Ordu	3353	4257	5084	6174	92	120	130	148
6	AKDENİZ	6	AKDENİZ	1	Adana	64	Osmaniye	79061	69145	67465	73549	3228	3246	2634	2917
6	AKDENİZ	9	DOĞUKARADENİZ	1	Adana	65	Rize	3353	4257	5084	6174	45	93	106	121
6	AKDENİZ	4	DOĞU MARMARA	1	Adana	66	Sakarya	14067	13194	15066	15177	289	251	285	320
6	AKDENİZ	8	BATI KARADENİZ	1	Adana	67	Samsun	6906	7301	7426	8591	204	209	215	218
6	AKDENİZ	12	GÜNEYDOĞU ANADOLU	1	Adana	68	Şanlıurfa	34439	36409	33025	38385	2269	2298	2269	2214
6	AKDENİZ	12	GÜNEYDOĞU ANADOLU	1	Adana	69	Siirt	34439	36409	33025	38385	490	386	380	366
6	AKDENİZ	8	BATI KARADENİZ	1	Adana	70	Sinop	6906	7301	7426	8591	37	57	74	37
6	AKDENİZ	12	GÜNEYDOĞU ANADOLU	1	Adana	71	Şırnak	34439	36409	33025	38385	524	611	487	621
6	AKDENİZ	7	ORTA ANADOLU	1	Adana	72	Sivas	17390	16672	16583	17847	294	337	351	534
6	AKDENİZ	2	BATI MARMARA	1	Adana	73	Tekirdağ	5472	6036	6160	7013	338	345	412	368
6	AKDENİZ	8	BATI KARADENİZ	1	Adana	74	Tokat	6906	7301	7426	8591	135	205	178	210
6	AKDENİZ	9	DOĞUKARADENİZ	1	Adana	75	Trabzon	3353	4257	5084	6174	133	216	248	228
6	AKDENİZ	11	ORTADOĞU ANADOLU	1	Adana	76	Tunceli	15012	13097	14857	15467	152	178	112	197
6	AKDENİZ	3	EGE	1	Adana	77	Uşak	25604	28110	30933	34261	70	82	109	111
6	AKDENİZ	11	ORTADOĞU ANADOLU	1	Adana	78	Van	15012	13097	14857	15467	568	546	1437	619
6	AKDENİZ	4	DOĞU MARMARA	1	Adana	79	Yalova	14067	13194	15066	15177	122	68	77	157
6	AKDENİZ	7	ORTA ANADOLU	1	Adana	80	Yozgat	17390	16672	16583	17847	250	255	228	237
6	AKDENİZ	8	BATI KARADENİZ	1	Adana	81	Zonguldak	6906	7301	7426	8591	101	143	100	137
12	GÜNEYDOĞU ANADOLU	6	AKDENİZ	2	Adıyaman	1	Adana	46113	36947	42588	52428	868	966	906	948
12	GÜNEYDOĞU ANADOLU	12	GÜNEYDOĞU ANADOLU	2	Adıyaman	2	Adıyaman	46409	44678	49129	52668	0	0	0	0
12	GÜNEYDOĞU ANADOLU	3	EGE	2	Adıyaman	3	Afyonkarahisar	26299	16867	21155	18403	68	82	89	86
12	GÜNEYDOĞU ANADOLU	10	KUZEYDOĞU ANADOLU	2	Adıyaman	4	Ağrı	1716	3663	4585	4839	16	102	105	115
12	GÜNEYDOĞU ANADOLU	7	ORTA ANADOLU	2	Adıyaman	5	Aksaray	5735	6208	6977	8387	85	41	70	59
