originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,regionflow_2008,regionflow_2010,regionflow_2012,regionflow_2014,countryflow_2008,countryflow_2010,countryflow_2012,countryflow_2014
6,AKDEN?Z,6,AKDEN?Z,1,Adana,1,Adana,0,0,0,0,0,0,0,0
6,AKDEN?Z,12,GUNEYDO?UANADOLU,1,Adana,2,Ad?yaman,0,0,0,0,0,0,0,0
6,AKDEN?Z,3,EGE,1,Adana,3,Afyonkarahisar,177,0,5130,4242,16,0,202,9
6,AKDEN?Z,10,KUZEYDO?UANADOLU,1,Adana,4,A?r?,0,0,0,0,0,0,17,32
6,AKDEN?Z,7,ORTAANADOLU,1,Adana,5,Aksaray,1169,714,811,0,269,33,218,58
6,AKDEN?Z,8,BATIKARADEN?Z,1,Adana,6,Amasya,0,0,0,0,30,0,22,46
6,AKDEN?Z,5,BATIANADOLU,1,Adana,7,Ankara,0,0,10134,9235,403,920,1493,1337
6,AKDEN?Z,6,AKDEN?Z,1,Adana,8,Antalya,0,0,0,0,1438,1169,1316,1377
6,AKDEN?Z,10,KUZEYDO?UANADOLU,1,Adana,9,Ardahan,0,0,0,0,7,10,23,22
6,AKDEN?Z,9,DO?UKARADEN?Z,1,Adana,10,Artvin,0,0,1175,872,13,11,5,0
6,AKDEN?Z,3,EGE,1,Adana,11,Ayd?n,177,0,5130,4242,320,1,178,113
6,AKDEN?Z,2,BATIMARMARA,1,Adana,12,Bal?kesir,331,269,1256,997,63,37,27,142
6,AKDEN?Z,8,BATIKARADEN?Z,1,Adana,13,Bart?n,0,0,0,0,29,0,29,0
6,AKDEN?Z,12,GUNEYDO?UANADOLU,1,Adana,14,Batman,0,0,0,0,0,141,0,0
6,AKDEN?Z,10,KUZEYDO?UANADOLU,1,Adana,15,Bayburt,0,0,0,0,16,38,59,12
6,AKDEN?Z,4,DO?UMARMARA,1,Adana,16,Bilecik,2666,297,4205,2156,42,12,108,10
6,AKDEN?Z,11,ORTADO?UANADOLU,1,Adana,17,Bingöl,0,0,0,0,151,0,0,0
6,AKDEN?Z,11,ORTADO?UANADOLU,1,Adana,18,Bitlis,0,0,0,0,0,0,0,0
6,AKDEN?Z,4,DO?UMARMARA,1,Adana,19,Bolu,2666,297,4205,2156,0,0,55,57
6,AKDEN?Z,6,AKDEN?Z,1,Adana,20,Burdur,0,0,0,0,4,29,115,0
6,AKDEN?Z,4,DO?UMARMARA,1,Adana,21,Bursa,2666,297,4205,2156,312,213,414,413
6,AKDEN?Z,2,BATIMARMARA,1,Adana,22,Çanakkale,331,269,1256,997,71,52,130,70
6,AKDEN?Z,8,BATIKARADEN?Z,1,Adana,23,Çank?r?,0,0,0,0,34,34,24,0
6,AKDEN?Z,8,BATIKARADEN?Z,1,Adana,24,Çorum,0,0,0,0,31,0,5,22
6,AKDEN?Z,3,EGE,1,Adana,25,Denizli,177,0,5130,4242,83,0,106,111
6,AKDEN?Z,12,GUNEYDO?UANADOLU,1,Adana,26,Diyarbak?r,0,0,0,0,0,0,0,0
6,AKDEN?Z,4,DO?UMARMARA,1,Adana,27,Düzce,2666,297,4205,2156,41,11,0,18
